date,platform,campaign_type,campaign_id,channel,target_segment,objective,expected_uplift,country,impressions,clicks,CTR,ad_spend,conversions,ROAS,revenue,conversion_lift,click_to_conversion_rate
2021-01-20,,,12,Email,Churn Risk,Acquisition,0.032,,,,,,,,,,
2021-01-31,,,44,Affiliate,All,Reactivation,0.141,,,,,,,,,,
2021-02-14,,,50,Email,Churn Risk,Retention,0.023,,,,,,,,,,
2021-03-19,,,25,Paid Search,High Value,Cross-sell,0.119,,,,,,,,,,
2021-04-09,,,49,Paid Search,Deal Seekers,Reactivation,0.128,,,,,,,,,,
2021-07-26,,,20,Social,New Customers,Reactivation,0.059,,,,,,,,,,
2021-08-05,,,32,Social,Churn Risk,Reactivation,0.051,,,,,,,,,,
2021-08-23,,,8,Paid Search,Churn Risk,Cross-sell,0.128,,,,,,,,,,
2021-09-02,,,28,Affiliate,New Customers,Acquisition,0.093,,,,,,,,,,
2021-10-20,,,6,Affiliate,New Customers,Reactivation,0.087,,,,,,,,,,
2021-10-24,,,2,Email,Deal Seekers,Retention,0.116,,,,,,,,,,
2021-10-25,,,1,Paid Search,Deal Seekers,Cross-sell,0.022,,,,,,,,,,
2021-11-07,,,24,Display,New Customers,Acquisition,0.063,,,,,,,,,,
2021-11-28,,,19,Affiliate,New Customers,Acquisition,0.087,,,,,,,,,,
2021-12-18,,,38,Paid Search,All,Reactivation,0.065,,,,,,,,,,
2021-12-26,,,29,Email,New Customers,Acquisition,0.14,,,,,,,,,,
2022-01-05,,,48,Paid Search,New Customers,Acquisition,0.099,,,,,,,,,,
2022-02-15,,,33,Display,All,Cross-sell,0.1,,,,,,,,,,
2022-03-19,,,13,Display,Churn Risk,Reactivation,0.063,,,,,,,,,,
2022-04-01,,,27,Display,New Customers,Retention,0.057,,,,,,,,,,
2022-04-08,,,45,Affiliate,Churn Risk,Retention,0.114,,,,,,,,,,
2022-04-12,,,47,Affiliate,High Value,Cross-sell,0.066,,,,,,,,,,
2022-04-29,,,15,Social,New Customers,Retention,0.086,,,,,,,,,,
2022-07-02,,,22,Affiliate,High Value,Reactivation,0.038,,,,,,,,,,
2022-07-09,,,5,Social,New Customers,Acquisition,0.144,,,,,,,,,,
2022-07-25,,,40,Display,New Customers,Cross-sell,0.105,,,,,,,,,,
2022-07-25,,,4,Display,Deal Seekers,Reactivation,0.111,,,,,,,,,,
2022-09-01,,,10,Email,Churn Risk,Cross-sell,0.034,,,,,,,,,,
2022-09-20,,,14,Email,High Value,Retention,0.092,,,,,,,,,,
2022-10-09,,,18,Affiliate,All,Retention,0.139,,,,,,,,,,
2022-10-20,,,37,Paid Search,Deal Seekers,Cross-sell,0.096,,,,,,,,,,
2022-10-25,,,23,Paid Search,Deal Seekers,Retention,0.107,,,,,,,,,,
2022-11-02,,,11,Affiliate,Churn Risk,Reactivation,0.104,,,,,,,,,,
2022-11-06,,,35,Display,High Value,Acquisition,0.046,,,,,,,,,,
2023-02-21,,,21,Email,Churn Risk,Acquisition,0.09,,,,,,,,,,
2023-03-08,,,39,Affiliate,New Customers,Retention,0.108,,,,,,,,,,
2023-03-12,,,43,Paid Search,Deal Seekers,Cross-sell,0.078,,,,,,,,,,
2023-03-19,,,34,Email,Churn Risk,Reactivation,0.042,,,,,,,,,,
2023-03-23,,,46,Social,All,Cross-sell,0.03,,,,,,,,,,
2023-04-03,,,36,Display,Deal Seekers,Reactivation,0.117,,,,,,,,,,
2023-04-05,,,17,Display,High Value,Retention,0.14,,,,,,,,,,
2023-04-09,,,41,Social,All,Retention,0.058,,,,,,,,,,
2023-04-22,,,42,Paid Search,High Value,Retention,0.051,,,,,,,,,,
2023-07-02,,,7,Paid Search,High Value,Cross-sell,0.136,,,,,,,,,,
2023-08-10,,,16,Email,All,Reactivation,0.118,,,,,,,,,,
2023-08-13,,,26,Email,Deal Seekers,Reactivation,0.037,,,,,,,,,,
2023-10-08,,,3,Email,Churn Risk,Reactivation,0.1,,,,,,,,,,
2023-10-09,,,9,Social,All,Retention,0.113,,,,,,,,,,
2023-10-26,,,31,Affiliate,High Value,Cross-sell,0.108,,,,,,,,,,
2023-11-04,,,30,Social,Deal Seekers,Acquisition,0.052,,,,,,,,,,
2024-01-01,TikTok Ads,Display,,,,,,USA,103026,9066,0.088,12964.38,278,3.6,46631,,0.030664019413192148
2024-01-01,Google Ads,Search,,,,,,India,21702,1000,0.0461,3170,17,1.16,3670.88,,0.017
2024-01-02,Meta Ads,Search,,,,,,India,163624,4368,0.0267,5591.04,296,5.55,31041.33,,0.067765567765567761
2024-01-02,Meta Ads,Display,,,,,,UK,143485,3945,0.0275,2800.95,187,10.98,30765.32,,0.047401774397972114
2024-01-02,Meta Ads,Video,,,,,,USA,138639,2204,0.0159,3967.2,154,9.02,35803.07,,0.069872958257713252
2024-01-02,TikTok Ads,Shopping,,,,,,Germany,83953,5935,0.0707,7834.2,296,6.45,50505.07,,0.049873631002527383
2024-01-03,Meta Ads,Video,,,,,,India,149375,6109,0.0409,13317.62,89,1.68,22418.8,,0.014568669176624652
2024-01-03,Meta Ads,Search,,,,,,UK,91392,2705,0.0296,5518.2,87,2.2,12147.08,,0.032162661737523107
